timestep,reward
1,6.457377049180328
2,6.357377049180329
3,6.257377049180329
4,6.1573770491803295
5,6.05737704918033
6,5.95737704918033
7,5.8573770491803305
8,5.757377049180331
9,5.657377049180331
10,5.557377049180332
11,5.457377049180332
12,5.357377049180332
13,5.257377049180333
14,5.157377049180333
15,5.057377049180333
16,4.957377049180334
17,4.857377049180334
18,4.757377049180334
19,4.657377049180335
20,4.557377049180335
21,4.4573770491803355
22,4.357377049180336
23,4.257377049180336
24,4.157377049180337
25,4.057377049180337
26,3.957377049180337
27,3.8573770491803367
28,3.7573770491803367
29,6.936065573770501
30,6.836065573770501
31,6.736065573770501
32,6.636065573770502
33,6.536065573770502
34,6.436065573770502
35,6.336065573770503
36,6.236065573770503
37,6.136065573770503
38,6.036065573770504
39,5.936065573770504
40,9.114754098360669
41,9.014754098360669
42,8.91475409836067
43,8.81475409836067
44,8.71475409836067
45,8.61475409836067
46,8.51475409836067
47,11.693442622950835
48,11.593442622950835
49,11.493442622950836
50,11.393442622950836
51,11.293442622950836
52,11.193442622950837
53,14.372131147541001
54,14.272131147541002
55,14.172131147541002
56,14.072131147541002
57,13.972131147541003
58,17.150819672131163
59,17.050819672131162
60,16.95081967213116
61,16.85081967213116
62,16.750819672131158
63,19.929508196721322
64,19.82950819672132
65,19.72950819672132
66,19.629508196721318
67,22.808196721311482
68,22.70819672131148
69,22.60819672131148
70,25.786885245901644
71,25.686885245901642
72,25.58688524590164
73,25.48688524590164
74,28.665573770491804
75,28.565573770491802
76,28.4655737704918
77,31.644262295081965
78,31.544262295081964
79,31.444262295081963
80,31.34426229508196
81,34.522950819672126
82,34.422950819672124
83,34.32295081967212
84,37.50163934426229
85,37.401639344262286
86,40.58032786885245
87,40.48032786885245
88,40.38032786885245
89,43.55901639344261
90,43.45901639344261
91,43.35901639344261
92,46.53770491803277
93,46.43770491803277
94,49.616393442622936
95,49.516393442622935
96,52.6950819672131
97,52.5950819672131
98,55.77377049180326
99,58.952459016393426
100,58.852459016393425
101,62.03114754098359
102,61.93114754098359
103,61.83114754098359
104,65.00983606557375
105,64.90983606557376
106,64.80983606557376
107,67.98852459016393
108,67.88852459016394
109,67.78852459016395
110,70.96721311475412
111,70.86721311475412
112,70.76721311475413
113,73.9459016393443
114,73.8459016393443
115,73.74590163934431
116,76.92459016393448
117,76.82459016393449
118,76.7245901639345
119,79.90327868852467
120,79.80327868852467
121,79.70327868852468
122,82.88196721311485
123,82.78196721311485
124,85.96065573770503
125,85.86065573770503
126,85.76065573770504
127,88.93934426229521
128,88.83934426229521
129,88.73934426229522
130,88.63934426229523
131,91.8180327868854
132,91.7180327868854
133,91.61803278688541
134,94.79672131147558
135,94.69672131147559
136,94.59672131147559
137,94.4967213114756
138,97.67540983606577
139,97.57540983606577
140,97.47540983606578
141,100.65409836065595
142,100.55409836065596
143,100.45409836065596
144,103.63278688524613
145,103.53278688524614
146,103.43278688524614
147,106.61147540983632
148,106.51147540983632
149,106.41147540983633
150,109.5901639344265
151,109.4901639344265
152,109.39016393442651
153,112.56885245901668
154,112.46885245901669
155,112.3688524590167
156,112.2688524590167
157,115.44754098360687
158,115.34754098360688
159,115.24754098360688
160,118.42622950819705
161,118.32622950819706
162,118.22622950819706
163,118.12622950819707
164,121.30491803278724
165,121.20491803278725
166,121.10491803278725
167,124.28360655737742
168,124.18360655737743
169,124.08360655737744
170,127.26229508196761
171,127.16229508196761
172,127.06229508196762
173,130.2409836065578
174,130.1409836065578
175,130.0409836065578
176,129.9409836065578
177,133.11967213114798
178,133.01967213114798
179,132.919672131148
180,136.09836065573816
181,135.99836065573817
182,135.89836065573817
183,135.79836065573818
184,138.97704918032835
185,138.87704918032836
186,138.77704918032836
187,141.95573770491853
188,141.85573770491854
189,141.75573770491854
190,144.93442622950872
191,144.83442622950872
192,144.73442622950873
193,144.63442622950873
194,147.8131147540989
195,147.7131147540989
196,147.61311475409892
197,150.7918032786891
198,150.6918032786891
199,150.5918032786891
200,150.4918032786891
201,153.67049180327928
202,153.57049180327928
203,153.4704918032793
204,156.64918032786946
205,156.54918032786946
206,156.44918032786947
207,159.62786885245964
208,159.52786885245965
209,159.42786885245965
210,159.32786885245966
211,162.50655737704983
212,162.40655737704984
213,162.30655737704984
214,165.48524590164
215,165.38524590164002
216,165.28524590164002
217,165.18524590164003
218,168.3639344262302
219,168.2639344262302
220,168.1639344262302
221,168.06393442623022
222,171.2426229508204
223,171.1426229508204
224,171.0426229508204
225,174.22131147541057
226,174.12131147541058
227,174.02131147541058
228,173.9213114754106
229,177.10000000000076
230,177.00000000000077
231,176.90000000000077
232,180.07868852459094
233,179.97868852459095
234,179.87868852459096
235,179.77868852459096
236,182.95737704918113
237,182.85737704918114
238,182.75737704918114
239,185.93606557377132
240,185.83606557377132
241,185.73606557377133
242,188.9147540983615
243,188.8147540983615
244,188.7147540983615
245,191.89344262295168
246,191.7934426229517
247,194.97213114754186
248,194.87213114754186
249,194.77213114754187
250,197.95081967213204
251,197.85081967213205
252,197.75081967213205
253,200.92950819672222
254,200.82950819672223
255,200.72950819672224
256,203.9081967213124
257,203.8081967213124
258,203.70819672131242
259,203.60819672131242
260,206.7868852459026
261,206.6868852459026
262,206.5868852459026
263,209.76557377049278
264,209.66557377049278
265,209.5655737704928
266,212.74426229508296
267,212.64426229508297
268,212.54426229508297
269,215.72295081967314
270,215.62295081967315
271,215.52295081967316
272,215.42295081967316
273,218.60163934426333
274,218.50163934426334
275,218.40163934426334
276,221.58032786885352
277,221.48032786885352
278,221.38032786885353
279,224.5590163934437
280,224.4590163934437
281,224.3590163934437
282,224.25901639344372
283,227.4377049180339
284,227.3377049180339
285,227.2377049180339
286,230.41639344262407
287,230.31639344262408
288,230.21639344262408
289,233.39508196721425
290,233.29508196721426
291,233.19508196721426
