timestep,reward
1,6.15
2,6.050000000000001
3,5.950000000000001
4,5.850000000000001
5,5.750000000000002
6,5.650000000000002
7,5.5500000000000025
8,5.450000000000003
9,5.350000000000003
10,5.2500000000000036
11,5.150000000000004
12,5.050000000000004
13,4.950000000000005
14,4.850000000000005
15,4.750000000000005
16,4.650000000000006
17,4.550000000000006
18,4.450000000000006
19,4.350000000000007
20,4.250000000000007
21,4.1500000000000075
22,4.050000000000008
23,7.075000000000008
24,6.9750000000000085
25,6.875000000000009
26,6.775000000000009
27,6.67500000000001
28,6.57500000000001
29,6.47500000000001
30,6.375000000000011
31,6.275000000000011
32,6.175000000000011
33,6.075000000000012
34,9.100000000000012
35,9.000000000000012
36,8.900000000000013
37,8.800000000000013
38,8.700000000000014
39,8.600000000000014
40,8.500000000000014
41,11.525000000000015
42,11.425000000000015
43,11.325000000000015
44,11.225000000000016
45,11.125000000000016
46,11.025000000000016
47,14.050000000000017
48,13.950000000000017
49,13.850000000000017
50,13.750000000000018
51,13.650000000000018
52,16.67500000000002
53,16.575000000000017
54,16.475000000000016
55,16.375000000000014
56,19.400000000000013
57,19.30000000000001
58,19.20000000000001
59,19.10000000000001
60,19.000000000000007
61,22.025000000000006
62,21.925000000000004
63,21.825000000000003
64,24.85
65,24.75
66,24.65
67,24.549999999999997
68,27.574999999999996
69,27.474999999999994
70,27.374999999999993
71,30.39999999999999
72,30.29999999999999
73,30.19999999999999
74,33.22499999999999
75,33.124999999999986
76,33.024999999999984
77,32.92499999999998
78,35.94999999999998
79,35.84999999999998
80,38.87499999999998
81,38.77499999999998
82,38.674999999999976
83,41.699999999999974
84,41.59999999999997
85,41.49999999999997
86,44.52499999999997
87,44.42499999999997
88,47.44999999999997
89,47.349999999999966
90,47.249999999999964
91,50.27499999999996
92,50.17499999999996
93,53.19999999999996
94,53.09999999999996
95,52.99999999999996
96,56.024999999999956
97,55.924999999999955
98,55.82499999999995
99,55.72499999999995
100,58.74999999999995
101,58.64999999999995
102,58.54999999999995
103,58.449999999999946
104,58.349999999999945
105,58.24999999999994
106,58.14999999999994
107,58.04999999999994
108,57.94999999999994
109,57.84999999999994
110,57.749999999999936
111,57.649999999999935
112,57.54999999999993
113,57.44999999999993
114,57.34999999999993
115,57.24999999999993
116,57.14999999999993
117,57.049999999999926
118,56.949999999999925
119,56.84999999999992
120,56.74999999999992
121,56.64999999999992
122,56.54999999999992
123,56.44999999999992
124,56.349999999999916
125,56.249999999999915
126,56.14999999999991
127,56.04999999999991
128,55.94999999999991
129,55.84999999999991
130,55.74999999999991
131,55.649999999999906
132,55.549999999999905
133,55.4499999999999
134,55.3499999999999
135,55.2499999999999
136,55.1499999999999
137,55.0499999999999
138,54.949999999999896
139,54.849999999999895
140,54.74999999999989
141,54.64999999999989
142,54.54999999999989
143,54.44999999999989
144,57.47499999999989
145,60.499999999999886
146,60.399999999999885
147,63.42499999999988
148,63.32499999999988
149,63.22499999999988
150,63.12499999999988
151,63.02499999999988
152,62.924999999999876
153,65.94999999999987
154,65.84999999999988
155,65.74999999999989
156,65.64999999999989
157,65.5499999999999
158,65.4499999999999
159,65.34999999999991
160,65.24999999999991
161,65.14999999999992
162,65.04999999999993
163,64.94999999999993
164,64.84999999999994
165,64.74999999999994
166,64.64999999999995
167,64.54999999999995
168,64.44999999999996
169,64.34999999999997
170,64.24999999999997
171,64.14999999999998
172,64.04999999999998
173,63.94999999999998
174,63.84999999999998
175,66.87499999999999
176,66.77499999999999
177,66.675
178,66.575
179,66.47500000000001
180,66.37500000000001
181,66.27500000000002
182,66.17500000000003
183,66.07500000000003
184,65.97500000000004
185,65.87500000000004
186,65.77500000000005
187,65.67500000000005
188,65.57500000000006
189,65.47500000000007
190,65.37500000000007
191,65.27500000000008
192,65.17500000000008
193,65.07500000000009
194,64.9750000000001
195,64.8750000000001
196,64.7750000000001
197,64.67500000000011
198,64.57500000000012
199,64.47500000000012
200,64.37500000000013
201,64.27500000000013
202,64.17500000000014
203,64.07500000000014
204,63.97500000000014
205,63.87500000000014
206,63.77500000000014
207,63.67500000000014
208,63.57500000000014
209,63.475000000000136
210,63.375000000000135
211,63.275000000000134
212,63.17500000000013
213,63.07500000000013
214,62.97500000000013
215,62.87500000000013
216,62.77500000000013
217,62.675000000000125
218,62.575000000000124
219,62.47500000000012
220,62.37500000000012
221,62.27500000000012
222,62.17500000000012
223,62.07500000000012
224,61.975000000000115
225,61.875000000000114
226,61.77500000000011
227,61.67500000000011
228,61.57500000000011
229,61.47500000000011
230,61.37500000000011
231,61.275000000000105
232,61.175000000000104
233,61.0750000000001
234,60.9750000000001
235,60.8750000000001
236,60.7750000000001
237,60.6750000000001
238,60.575000000000095
239,60.475000000000094
240,60.37500000000009
241,60.27500000000009
242,60.17500000000009
243,60.07500000000009
244,59.97500000000009
245,59.875000000000085
246,59.775000000000084
247,62.80000000000008
248,62.70000000000008
249,65.72500000000008
250,65.62500000000009
251,65.52500000000009
252,65.4250000000001
253,65.3250000000001
254,65.22500000000011
255,65.12500000000011
256,65.02500000000012
257,64.92500000000013
258,64.82500000000013
259,64.72500000000014
260,64.62500000000014
261,64.52500000000015
262,67.55000000000015
263,67.45000000000016
264,67.35000000000016
265,67.25000000000017
266,67.15000000000018
267,67.05000000000018
268,66.95000000000019
269,66.8500000000002
270,66.7500000000002
271,66.6500000000002
272,66.55000000000021
273,69.57500000000022
274,69.47500000000022
275,69.37500000000023
276,69.27500000000023
277,69.17500000000024
278,69.07500000000024
279,68.97500000000025
280,68.87500000000026
281,68.77500000000026
282,68.67500000000027
283,68.57500000000027
284,68.47500000000028
285,68.37500000000028
286,68.27500000000029
287,68.1750000000003
288,68.0750000000003
289,67.9750000000003
290,67.87500000000031
291,67.77500000000032
292,67.67500000000032
293,67.57500000000033
294,67.47500000000034
295,67.37500000000034
296,67.27500000000035
297,67.17500000000035
298,67.07500000000036
299,66.97500000000036
300,66.87500000000037
301,66.77500000000038
302,66.67500000000038
303,66.57500000000039
304,66.47500000000039
305,66.3750000000004
306,66.2750000000004
307,66.17500000000041
308,66.07500000000041
309,65.97500000000042
310,65.87500000000043
311,65.77500000000043
312,65.67500000000044
313,65.57500000000044
314,65.47500000000045
315,65.37500000000045
316,65.27500000000046
317,65.17500000000047
318,65.07500000000047
319,64.97500000000048
320,64.87500000000048
321,64.77500000000049
322,64.6750000000005
323,64.5750000000005
324,64.4750000000005
325,64.37500000000051
326,64.27500000000052
327,64.17500000000052
328,64.07500000000053
329,63.97500000000053
330,63.875000000000526
331,63.775000000000524
332,63.67500000000052
333,63.57500000000052
