timestep,reward
1,6.796551724137931
2,6.696551724137931
3,6.596551724137932
4,6.496551724137932
5,6.396551724137932
6,6.296551724137933
7,6.196551724137933
8,6.0965517241379334
9,5.996551724137934
10,5.896551724137934
11,5.7965517241379345
12,5.696551724137935
13,5.596551724137935
14,5.496551724137936
15,5.396551724137936
16,5.296551724137936
17,5.196551724137937
18,5.096551724137937
19,4.996551724137937
20,4.896551724137938
21,4.796551724137938
22,4.696551724137938
23,4.596551724137939
24,4.496551724137939
25,4.3965517241379395
26,4.29655172413794
27,4.19655172413794
28,4.0965517241379406
29,3.9965517241379405
30,3.8965517241379404
31,3.7965517241379403
32,3.69655172413794
33,3.59655172413794
34,3.49655172413794
35,3.39655172413794
36,3.29655172413794
37,3.1965517241379398
38,3.0965517241379397
39,2.9965517241379396
40,2.8965517241379395
41,2.7965517241379394
42,2.6965517241379393
43,2.596551724137939
44,2.496551724137939
45,2.396551724137939
46,2.296551724137939
47,2.196551724137939
48,2.0965517241379388
49,1.9965517241379387
50,1.8965517241379386
51,1.7965517241379385
52,1.6965517241379384
53,1.5965517241379383
54,1.4965517241379382
55,1.3965517241379382
56,1.296551724137938
57,1.196551724137938
58,1.0965517241379379
59,0.9965517241379379
60,0.8965517241379379
61,0.796551724137938
62,0.696551724137938
63,0.596551724137938
64,0.496551724137938
65,0.39655172413793804
66,0.29655172413793807
67,0.19655172413793806
68,0.09655172413793806
69,-0.0034482758620619502
70,-0.10344827586206196
71,-0.20344827586206196
72,-0.30344827586206197
73,-0.403448275862062
74,-0.503448275862062
75,-0.603448275862062
76,-0.7034482758620619
77,-0.8034482758620619
78,-0.9034482758620619
79,-1.003448275862062
80,-1.103448275862062
81,-1.2034482758620622
82,-1.3034482758620622
83,-1.4034482758620623
84,-1.5034482758620624
85,-1.6034482758620625
86,-1.7034482758620626
87,-1.8034482758620627
88,-1.9034482758620628
89,-2.0034482758620626
90,-2.1034482758620627
91,-2.203448275862063
92,-2.303448275862063
93,-2.403448275862063
94,-2.503448275862063
95,-2.603448275862063
96,-2.7034482758620633
97,-2.8034482758620634
98,-2.9034482758620634
99,-3.0034482758620635
100,-3.1034482758620636
101,-3.2034482758620637
102,-3.303448275862064
103,-3.403448275862064
104,-3.503448275862064
105,-3.603448275862064
106,-3.703448275862064
107,-3.8034482758620642
108,-3.9034482758620643
