timestep,reward
1,7.4757575757575765
2,7.375757575757577
3,7.275757575757577
4,7.1757575757575776
5,7.075757575757578
6,6.975757575757578
7,6.875757575757579
8,6.775757575757579
9,6.675757575757579
10,6.57575757575758
11,6.47575757575758
12,6.37575757575758
13,6.275757575757581
14,6.175757575757581
15,6.0757575757575815
16,5.975757575757582
17,5.875757575757582
18,5.7757575757575825
19,5.675757575757583
20,5.575757575757583
21,5.475757575757584
22,5.375757575757584
23,5.275757575757584
24,5.175757575757585
25,5.075757575757585
26,4.975757575757585
27,4.875757575757586
28,4.775757575757586
29,4.675757575757586
30,4.575757575757587
31,4.475757575757587
32,4.3757575757575875
33,4.275757575757588
34,4.175757575757588
35,4.075757575757589
36,3.9757575757575885
37,3.8757575757575884
38,3.7757575757575883
39,3.675757575757588
40,3.575757575757588
41,3.475757575757588
42,3.375757575757588
43,3.275757575757588
44,3.1757575757575878
45,3.0757575757575877
46,2.9757575757575876
47,2.8757575757575875
48,2.7757575757575874
49,2.6757575757575873
50,2.5757575757575872
51,2.475757575757587
52,2.375757575757587
53,2.275757575757587
54,2.175757575757587
55,2.075757575757587
56,1.9757575757575867
57,1.8757575757575866
58,1.7757575757575865
59,1.6757575757575864
60,1.5757575757575863
61,1.4757575757575863
62,1.3757575757575862
63,1.275757575757586
64,1.175757575757586
65,1.075757575757586
66,0.9757575757575859
67,0.875757575757586
68,0.775757575757586
69,0.675757575757586
70,0.575757575757586
71,0.47575757575758604
72,0.37575757575758606
73,0.2757575757575861
74,0.17575757575758608
75,0.07575757575758607
76,-0.024242424242413935
77,-0.12424242424241394
78,-0.22424242424241395
79,-0.32424242424241395
80,-0.424242424242414
81,-0.524242424242414
82,-0.6242424242424139
83,-0.7242424242424139
84,-0.8242424242424139
85,-0.9242424242424139
86,-1.024242424242414
87,-1.124242424242414
88,-1.2242424242424141
89,-1.3242424242424142
90,-1.4242424242424143
91,-1.5242424242424144
92,-1.6242424242424145
93,-1.7242424242424146
94,-1.8242424242424147
95,-1.9242424242424148
96,-2.0242424242424146
97,-2.1242424242424147
98,-2.224242424242415
99,-2.324242424242415
100,-2.424242424242415
101,-2.524242424242415
102,-2.624242424242415
103,-2.7242424242424153
104,-2.8242424242424153
105,-2.9242424242424154
106,-3.0242424242424155
107,-3.1242424242424156
108,-3.2242424242424157
109,-3.324242424242416
110,-3.424242424242416
111,-3.524242424242416
112,-3.624242424242416
113,-3.724242424242416
114,-3.8242424242424162
115,-3.9242424242424163
116,-4.024242424242416
117,-4.124242424242416
118,-4.224242424242416
119,-4.324242424242415
120,-4.424242424242415
121,-4.524242424242415
122,-4.624242424242414
123,-4.724242424242414
124,-4.824242424242414
125,-4.924242424242413
126,-5.024242424242413
127,-5.1242424242424125
128,-5.224242424242412
129,-5.324242424242412
130,-5.424242424242411
131,-5.524242424242411
132,-5.624242424242411
133,-5.72424242424241
134,-5.82424242424241
135,-5.92424242424241
136,-6.024242424242409
137,-6.124242424242409
138,-6.224242424242409
139,-6.324242424242408
140,-6.424242424242408
141,-6.5242424242424075
142,-6.624242424242407
143,-6.724242424242407
144,-6.8242424242424065
145,-6.924242424242406
146,-7.024242424242406
147,-7.124242424242405
148,-7.224242424242405
149,-7.324242424242405
150,-7.424242424242404
151,-7.524242424242404
152,-7.624242424242404
153,-7.724242424242403
154,-7.824242424242403
155,-7.9242424242424025
156,-8.024242424242402
157,-8.124242424242402
158,-8.224242424242401
159,-8.324242424242401
160,-8.4242424242424
161,-8.5242424242424
162,-8.6242424242424
163,-8.7242424242424
164,-8.8242424242424
165,-8.924242424242399
166,-9.024242424242399
167,-9.124242424242398
168,-9.224242424242398
169,-9.324242424242398
170,-9.424242424242397
171,-9.524242424242397
172,-9.624242424242397
173,-9.724242424242396
174,-9.824242424242396
175,-9.924242424242395
176,-10.024242424242395
177,-10.124242424242395
178,-10.224242424242394
179,-10.324242424242394
180,-10.424242424242394
181,-10.524242424242393
182,-10.624242424242393
183,-10.724242424242393
184,-10.824242424242392
185,-10.924242424242392
186,-11.024242424242392
187,-11.124242424242391
188,-11.22424242424239
189,-11.32424242424239
190,-11.42424242424239
191,-11.52424242424239
192,-11.62424242424239
193,-11.724242424242389
194,-11.824242424242389
195,-11.924242424242388
196,-12.024242424242388
197,-12.124242424242388
198,-12.224242424242387
199,-12.324242424242387
200,-12.424242424242387
201,-12.524242424242386
202,-12.624242424242386
203,-12.724242424242385
204,-12.824242424242385
205,-12.924242424242385
206,-13.024242424242384
207,-13.124242424242384
208,-13.224242424242384
209,-13.324242424242383
210,-13.424242424242383
211,-13.524242424242383
212,-13.624242424242382
213,-13.724242424242382
214,-13.824242424242382
215,-13.924242424242381
216,-14.02424242424238
217,-14.12424242424238
218,-14.22424242424238
219,-14.32424242424238
220,-14.42424242424238
221,-14.524242424242379
222,-14.624242424242379
223,-14.724242424242378
224,-14.824242424242378
225,-14.924242424242378
226,-15.024242424242377
227,-15.124242424242377
228,-15.224242424242377
229,-15.324242424242376
230,-15.424242424242376
231,-15.524242424242376
232,-15.624242424242375
233,-15.724242424242375
234,-15.824242424242374
235,-15.924242424242374
236,-16.024242424242374
237,-16.124242424242375
238,-16.224242424242377
239,-16.324242424242378
240,-16.42424242424238
241,-16.52424242424238
242,-16.624242424242382
243,-16.724242424242384
244,-16.824242424242385
245,-16.924242424242387
246,-17.024242424242388
247,-17.12424242424239
248,-17.22424242424239
249,-17.324242424242392
250,-17.424242424242394
251,-17.524242424242395
252,-17.624242424242397
253,-17.724242424242398
254,-17.8242424242424
255,-17.9242424242424
256,-18.024242424242402
257,-18.124242424242404
258,-18.224242424242405
259,-18.324242424242406
260,-18.424242424242408
261,-18.52424242424241
262,-18.62424242424241
263,-18.724242424242412
264,-18.824242424242414
265,-18.924242424242415
266,-19.024242424242416
267,-19.124242424242418
268,-19.22424242424242
269,-19.32424242424242
270,-19.424242424242422
271,-19.524242424242424
272,-19.624242424242425
273,-19.724242424242426
274,-19.824242424242428
275,-19.92424242424243
276,-20.02424242424243
277,-20.124242424242432
278,-20.224242424242433
279,-20.324242424242435
280,-20.424242424242436
281,-20.524242424242438
282,-20.62424242424244
283,-20.72424242424244
284,-20.824242424242442
285,-20.924242424242443
286,-21.024242424242445
287,-21.124242424242446
288,-21.224242424242448
289,-21.32424242424245
290,-21.42424242424245
291,-21.524242424242452
292,-21.624242424242453
293,-21.724242424242455
294,-21.824242424242456
295,-21.924242424242458
296,-22.02424242424246
297,-22.12424242424246
298,-22.224242424242462
299,-22.324242424242463
300,-22.424242424242465
301,-22.524242424242466
302,-22.624242424242468
303,-22.72424242424247
304,-22.82424242424247
305,-22.924242424242472
306,-23.024242424242473
307,-23.124242424242475
308,-23.224242424242476
309,-23.324242424242478
310,-23.42424242424248
311,-23.52424242424248
312,-23.62424242424248
313,-23.724242424242483
314,-23.824242424242485
315,-23.924242424242486
316,-24.024242424242487
317,-24.12424242424249
318,-24.22424242424249
319,-24.32424242424249
320,-24.424242424242493
321,-24.524242424242495
322,-24.624242424242496
323,-24.724242424242497
324,-24.8242424242425
325,-24.9242424242425
326,-25.0242424242425
327,-25.124242424242503
328,-25.224242424242505
329,-25.324242424242506
330,-25.424242424242507
331,-25.52424242424251
332,-25.62424242424251
333,-25.72424242424251
334,-25.824242424242513
335,-25.924242424242514
336,-26.024242424242516
337,-26.124242424242517
338,-26.22424242424252
339,-26.32424242424252
340,-26.42424242424252
341,-26.524242424242523
342,-26.624242424242524
343,-26.724242424242526
344,-26.824242424242527
345,-26.92424242424253
346,-27.02424242424253
347,-27.12424242424253
348,-27.224242424242533
349,-27.324242424242534
350,-27.424242424242536
351,-27.524242424242537
352,-27.62424242424254
353,-27.72424242424254
354,-27.82424242424254
355,-27.924242424242543
356,-28.024242424242544
357,-28.124242424242546
358,-28.224242424242547
359,-28.32424242424255
360,-28.42424242424255
361,-28.52424242424255
362,-28.624242424242553
363,-28.724242424242554
364,-28.824242424242556
365,-28.924242424242557
366,-29.02424242424256
367,-29.12424242424256
368,-29.22424242424256
369,-29.324242424242563
370,-29.424242424242564
371,-29.524242424242566
372,-29.624242424242567
373,-29.72424242424257
374,-29.82424242424257
375,-29.92424242424257
376,-30.024242424242573
377,-30.124242424242574
378,-30.224242424242576
379,-30.324242424242577
380,-30.42424242424258
381,-30.52424242424258
382,-30.62424242424258
383,-30.724242424242583
384,-30.824242424242584
385,-30.924242424242586
386,-31.024242424242587
387,-31.12424242424259
