timestep,reward
1,6.169592476489028
2,6.069592476489029
3,5.969592476489029
4,5.8695924764890295
5,5.76959247648903
6,5.66959247648903
7,5.5695924764890306
8,5.469592476489031
9,5.369592476489031
10,5.269592476489032
11,5.169592476489032
12,5.069592476489032
13,4.969592476489033
14,4.869592476489033
15,4.769592476489033
16,4.669592476489034
17,4.569592476489034
18,4.4695924764890345
19,4.369592476489035
20,4.269592476489035
21,4.1695924764890355
22,4.069592476489036
23,3.969592476489036
24,3.8695924764890357
25,3.7695924764890356
26,3.6695924764890355
27,3.5695924764890354
28,3.4695924764890353
29,3.3695924764890353
30,3.269592476489035
31,3.169592476489035
32,3.069592476489035
33,2.969592476489035
34,2.869592476489035
35,2.7695924764890347
36,2.6695924764890346
37,2.5695924764890345
38,2.4695924764890345
39,2.3695924764890344
40,2.2695924764890343
41,2.169592476489034
42,2.069592476489034
43,1.969592476489034
44,1.869592476489034
45,1.7695924764890338
46,1.6695924764890337
47,1.5695924764890337
48,1.4695924764890336
49,1.3695924764890335
50,1.2695924764890334
51,1.1695924764890333
52,1.0695924764890332
53,0.9695924764890332
54,0.8695924764890333
55,0.7695924764890333
56,0.6695924764890333
57,0.5695924764890333
58,0.46959247648903335
59,0.3695924764890334
60,0.2695924764890334
61,0.1695924764890334
62,0.06959247648903338
63,-0.030407523510966622
64,-0.13040752351096663
65,-0.23040752351096663
66,-0.33040752351096664
67,-0.43040752351096667
68,-0.5304075235109666
69,-0.6304075235109666
70,-0.7304075235109666
71,-0.8304075235109666
72,-0.9304075235109666
73,-1.0304075235109666
74,-1.1304075235109667
75,-1.2304075235109668
76,-1.330407523510967
77,-1.430407523510967
78,-1.530407523510967
79,-1.6304075235109672
80,-1.7304075235109673
81,-1.8304075235109674
82,-1.9304075235109674
83,-2.0304075235109673
84,-2.1304075235109674
85,-2.2304075235109675
86,-2.3304075235109676
87,-2.4304075235109677
88,-2.5304075235109678
89,-2.630407523510968
90,-2.730407523510968
91,-2.830407523510968
92,-2.930407523510968
93,-3.030407523510968
94,-3.1304075235109683
95,-3.2304075235109684
96,-3.3304075235109685
